competition_edition,league,player_id,runtype_run_in_behind,player_name,player_short_name,runtype_run_ahead_of_the_ball
1230,Eredivisie (NL),70182,0.47,Walid Ould-Chikh,W. Ould-Chikh,3.88
1230,Eredivisie (NL),70449,0.0,Wouter Goes,W. Goes,0.7
1230,Eredivisie (NL),70502,0.2,Zidane Iqbal,Zidane Iqbal,1.4
1230,Eredivisie (NL),70582,0.22,Daouda Weidmann,D. Weidmann,3.33
1230,Eredivisie (NL),70652,,Isak Hansen-Aaröen,I. Hansen-Aaröen,
1230,Eredivisie (NL),70695,0.25,Noam Emeran,N. Emeran,1.5
1230,Eredivisie (NL),70751,3.89,Leo Sauer,L. Sauer,9.63
1230,Eredivisie (NL),72053,5.09,Tobias Lauritsen,T. Lauritsen,5.0
1230,Eredivisie (NL),72068,1.1,Niklas Brøndsted Vesterlund Nielsen,N. Vesterlund,2.4
1230,Eredivisie (NL),72097,2.23,Joshua Gaston Kitolano,J. Kitolano,6.64
1230,Eredivisie (NL),72148,4.43,Oliver Valaker Edvardsen,O. Edvardsen,6.57
1230,Eredivisie (NL),72479,3.18,Makan Aïko,M. Aïko,5.45
1230,Eredivisie (NL),73016,3.45,Jochem Ritmeester van de Kamp,J. Ritmeester van de Kamp,9.77
1230,Eredivisie (NL),76746,2.23,Raul Paula,R. Paula,4.85
1230,Eredivisie (NL),83071,4.75,Gonçalo Oscar Albuquerque Borges,Gonçalo Borges,6.38
1230,Eredivisie (NL),84583,3.14,Noah Naujoks,N. Naujoks,6.62
1230,Eredivisie (NL),85489,10.56,Mexx Meerdink,M. Meerdink,4.11
1230,Eredivisie (NL),86081,1.76,Luciano Valente,L. Valente,7.1
1230,Eredivisie (NL),91246,0.73,Yvandro Borges Sanches,Y. Borges Sanches,3.45
1230,Eredivisie (NL),92778,0.73,Brayann Pereira,B. Pereira,2.4
1230,Eredivisie (NL),99675,2.5,Paul Wanner,P. Wanner,8.64
1230,Eredivisie (NL),101006,0.63,Olivier Aertssen,O. Aertssen,2.32
1230,Eredivisie (NL),102798,0.91,Nils Rossen,N. Rossen,4.48
1230,Eredivisie (NL),104332,0.14,Lewis Schouten,L. Schouten,0.93
1230,Eredivisie (NL),113243,0.05,Deveron Fonville,D. Fonville,1.74
1230,Eredivisie (NL),113718,8.0,Amine Salama,A. Salama,2.33
1230,Eredivisie (NL),113724,3.12,Matěj Šín,M. Šín,6.0
1230,Eredivisie (NL),115593,1.88,Gyan de Regt,G. de Regt,6.83
1230,Eredivisie (NL),116942,4.12,Václav Sejk,V. Sejk,2.0
1230,Eredivisie (NL),120545,0.1,Yarek Gasiorowski Hernandis,Yarek Gasiorowski,0.55
1230,Eredivisie (NL),124345,0.88,Tristan Gooijer ,T. Gooijer,2.94
1230,Eredivisie (NL),128541,2.39,Aurelio  Oehlers,A. Oehlers,5.83
1230,Eredivisie (NL),132223,3.0,Başar Önal,B. Önal,8.25
1230,Eredivisie (NL),139821,3.12,Anton Gaaei,A. Gaaei,8.12
1230,Eredivisie (NL),140944,7.58,Milan Smit,M. Smit,6.58
1230,Eredivisie (NL),145084,0.33,Brahim Ghalidi,B. Ghalidi,4.0
1230,Eredivisie (NL),151545,0.14,Sem Scheperman,S. Scheperman,2.86
1230,Eredivisie (NL),152161,0.0,Nikolai Søyset Hopland,N. Hopland,0.33
1230,Eredivisie (NL),153322,1.07,Miliano Jonathans,M. Jonathans,3.86
1230,Eredivisie (NL),153388,0.06,Justin Hubner,J. Hubner,1.0
1230,Eredivisie (NL),154026,4.17,Ruben van Bommel,R. van Bommel,7.17
1230,Eredivisie (NL),157427,2.95,Tristan van Gilst,T. van Gilst,3.68
1230,Eredivisie (NL),159478,0.0,Billy van Duijl,B. van Duijl,0.0
1230,Eredivisie (NL),159947,1.47,Jordan Bos,J. Bos,6.84
1230,Eredivisie (NL),160749,0.0,Damian van der Haar,D. van der Haar,0.0
1230,Eredivisie (NL),161117,3.0,Adrian Blake,A. Blake,6.26
1230,Eredivisie (NL),161790,3.0,Noé Lebreton,N. Lebreton,6.0
1230,Eredivisie (NL),167045,0.44,Nolan Martens,N. Martens,2.0
1230,Eredivisie (NL),167699,1.63,Joel Ideho,J. Ideho,5.47
1230,Eredivisie (NL),171394,2.63,Weslley  Pinto Batista,Weslley Patati,7.95
1230,Eredivisie (NL),174321,3.86,Sayfallah Ltaief,S. Ltaief,8.14
1230,Eredivisie (NL),178839,1.56,Stefan Mitrović,S. Mitrović,4.11
1230,Eredivisie (NL),179101,1.73,Oscar Gloukh,O. Gloukh,6.77
1230,Eredivisie (NL),179529,0.0,Remi van Ekeris,R. van Ekeris,0.0
1230,Eredivisie (NL),179537,3.14,Sami Ouaissa,S. Ouaissa,10.05
1230,Eredivisie (NL),179545,0.8,Dion Versluis,D. Versluis,0.0
1230,Eredivisie (NL),179984,0.53,Aske Emil Berg Adelgaard,A. Adelgaard,3.53
1230,Eredivisie (NL),180027,0.14,Ryan Flamingo,R. Flamingo,0.68
1230,Eredivisie (NL),180755,1.28,Dylan Mertens,D. Mertens,3.11
