id,name,coach,stadium.id,stadium.name,stadium.city,stadium.capacity,stadium
2843,Al Ittihad Al Iskandary,,583.0,Alexandria Stadium,Alexandria,20000.0,
2652,Matlama FC,,2289.0,Setsoto Stadium,Maseru,,
2802,HFX Wanderers FC,,2571.0,Wanderers Grounds,Halifax,7000.0,
2669,SGV Freiberg,,2305.0,Wasen-Stadion,Freiberg,,
1589,Benfica II,,2505.0,Benfica Campus,Seixal,2721.0,
2523,Al Nasr SC (Dubai),,2193.0,Ali Sabah Al-Salem Stadium,Al Farwaniyah,,
2700,Bhutan U20,,2360.0,Changlimithang Stadium,Thimphu,25000.0,
2704,"Chile U17, Women",,1706.0,Estadio Nacional de Chile,Santiago de Chile,46190.0,
2615,"Canada U20, Women",,1656.0,Estadio Olímpico Félix Sánchez,Santo Domingo de Guzmán,27000.0,
2719,Bodrum Belediyesi Bodrumspor,,2385.0,Bodrum İlçe Stadı,Bodrum,5000.0,
2808,Barrow AFC,,2577.0,Holker Street,Barrow-in-Furness,2829.0,
2735,Inter Miami II,,2399.0,DRV PNK Stadium,Lauderdale,18000.0,
2585,"Italy U19, Women",,90.0,Stadio Olimpico,Rome,72698.0,
2822,Tranmere Rovers FC,,2298.0,Prenton Park,Birkenhead,,
2832,SK Vorwärts Steyr,,2610.0,LIWEST Arena,Steyr,12000.0,
5257,"CFP Universidad de Chile, Women",,1706.0,Estadio Nacional de Chile,Santiago de Chile,46190.0,
5308,Brentford FC U21,,7332.0,Wheatsheaf Park,Staines,3000.0,
2848,CD Castellón Under 19,,1250.0,Estadio Municipal Castalia,Castellon,15500.0,
2834,First Vienna FC 1894,,2621.0,Hohe Warte Stadium,Wien,,
2849,Valencia CF Under 19,,54.0,Estadio Ciudad de Valencia,Valencia,26354.0,
4656,Peterborough United FC Under 21,,6109.0, Mick George Training Academy,Peterborough,1000.0,
2850,CS Marítimo Funchal Under 23,,2623.0,Campo Imaculada Conceição,Funchal,1900.0,
2851,Maccabi Haifa FC Under 19,,388.0,Sammy Ofer Stadium,Haifa,30874.0,
2852,GNK Dinamo Zagreb Under 19,,1320.0,Stadion Kranjčevićeva,Zagreb,8850.0,
2855,CD Mafra Under 23,,2099.0,Parque Desportivo e Municipal de Mafra,Mafra,,
2857,Norwich City FC Under 18 Academy,,469.0,Carrow Road,Norwich,27244.0,
2858,CD Roda Under 18,,54.0,Estadio Ciudad de Valencia,Valencia,26354.0,
2859,Leeds United FC Under 21,,102.0,Elland Road,Leeds,39460.0,
2860,Maccabi Bnei Raina,,2189.0,Green Stadium,Nazareth Illit,,
2861,Sektzia Nes Tziona FC,,1391.0,Bloomfield,Tel Aviv,29150.0,
2862,Club Deportivo Magallanes,,2624.0,Municipal de San Bernardo,San Bernardo,3500.0,
2863,CD Copiapó,,2625.0,Luis Valenzuela Hermosilla,Copiapó,8500.0,
2864,Lyngby Boldklub Under 19,,1148.0,Lyngby Stadium,Lyngby,10000.0,
5349,Inter Club d'Escaldes U19,,2183.0,Estadi Comuna d'Aixovall,Sant Julià de Lòria,,
5372,Rio Ave FC Under 19,,7077.0,Estádio do Rio Ave FC,Vila do Conde,5300.0,
2867,Instituto AC Córdoba,,2628.0,Estadio Presidente Perón,Cordoba,26535.0,
5397,Guadalupe FC,,7476.0,"Estadio José Joaquín ""Colleya"" Fonseca",Guadalupe,5500.0,
5419,FK Bunyodkor,,7491.0,Milliy Stadium,Tachkent,34000.0,
2872,UD San Sebastián de los Reyes,,1681.0,Municipal Nuevo Matapinonera,San Sebastian,2000.0,
2873,CD Badajoz,,2633.0,Civitas Nuevo Vivero,Badajoz,14898.0,
2593,"AFC Ajax, Women",,1392.0,Sportpark de Toekomst,Amsterdam,2000.0,
2877,CA Osasuna B,,2636.0,Instalaciones de Tajonar,Tajonar,4000.0,
2878,CF Intercity Sant Joan D'Alacant,,2637.0,Antonio Solana,Alicante,2500.0,
2884,São Bernardo FC,,2641.0,Estádio Primeiro de Maio,São Bernardo do Campo,16000.0,
2888,SC Verl 1924 Under 19,,2646.0,Sportanlage Berkenheide,Rietberg,1500.0,
2889,VFB 03 Hilden Under 19,,2647.0,Stadion Am Bandsbusch,Hilden,4500.0,
2891,FC Seoul,,2322.0,World Cup Stadium,Seoul,66704.0,
2896,Racing Club de Montevideo,,2656.0,Estadio Osvaldo Roberto,Montevideo,8500.0,
2897,La Luz FC,,2657.0,Estadio Municipal Parque Liebig's,Fray Bentos,6000.0,
2899,Ecuador Under 20,,1368.0,Estadio Monumental Isidro Romero Carbo,Guayaquil,57267.0,
2901,CD Unión Comercio,,2658.0,Estadio Carlos Vidaurre García,Tarapoto,12000.0,
2869,Real Club Celta de Vigo B,,230.0,Municipal de Balaidos,Vigo,31800.0,
2904,Standard de Liège II,,200.0,Stade Maurice Dufrasne,Liege,27670.0,
2906,St. Louis City Soccer Club,,2664.0,West Community Stadium,Saint Louis,5500.0,
2892,Gangwon FC,,2758.0,Chuncheon Songam Stadium,,,
5205,JIPPO Joensuu,,7011.0,Mehtimäki tekonurmi,Joensuu,1000.0,
2502,Clube de Regatas Brasil,,1243.0,Estádio Rei Pelé,Maceió,19105.0,
2752,Indy Eleven,,2415.0,Michael A. Carroll Stadium,Indianapolis,12100.0,
2509,América Mineiro U20,,654.0,Independencia,Belo Horizonte,23018.0,
4755,Budafoki MTE,,6303.0,Promontor utcai,Budapest,4000.0,
