competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,optionoffered_count_total,optionoffered_count,optionoffered_count_targeted,optionoffered_count_received,optionoffered_count_shotwithin10s,optionoffered_count_goalwithin10s,optionoffered_count_linebreak,optionoffered_count_dangerous,optionoffered_count_inspace,optionoffered_count_wide,optionoffered_count_insidedefensiveshape,optionoffered_count_outsidedefensiveshape,optionoffered_count_penaltyarea,optionoffered_count_penaltyarea_received,optionoffered_count_penaltyarea_shotwithin10s,optionoffered_count_penaltyarea_goalwithin10s
1396,Eliteserien (NO),13029,Jón Dagur Thorsteinsson,J. Thorsteinsson,1998-11-26,73.39,22.93,17.19,12,12,0,1257.0,104.75,31.92,25.08,2.25,0.25,30.33,17.92,18.92,73.5,19.58,85.17,8.92,1.17,0.25,0.17
1396,Eliteserien (NO),13032,Haitam Aleesami,H. Aleesami,1991-07-31,88.65,34.91,20.9,13,13,0,1950.0,150.0,72.08,71.46,0.31,0.08,0.85,2.77,73.31,22.69,5.62,144.38,2.62,0.15,0.0,0.0
1396,Eliteserien (NO),13034,Martin Linnes,M. Linnes,1991-09-20,54.5,18.08,12.89,10,10,0,794.0,79.4,23.6,22.6,2.0,0.1,14.6,7.7,20.7,56.2,8.9,70.5,2.0,0.5,0.3,0.1
1396,Eliteserien (NO),13127,Caleb Zady Sery,C. Zady Sery,1999-12-20,48.32,16.01,11.3,11,11,0,799.0,72.64,25.09,21.55,2.09,0.27,21.27,10.45,17.82,46.09,22.91,49.73,4.0,0.45,0.27,0.0
1396,Eliteserien (NO),13239,Vegar Eggen Hedenstad,V. Hedenstad,1991-06-26,33.81,10.06,8.26,7,7,0,338.0,48.29,16.43,15.57,0.0,0.0,2.0,3.71,14.86,25.57,2.86,45.43,1.86,0.29,0.0,0.0
1396,Eliteserien (NO),13245,Arild Østbø,A. Østbø,1991-04-19,100.63,25.23,31.25,6,6,0,233.0,38.83,18.67,18.33,0.0,0.0,0.0,0.0,18.67,0.0,0.0,38.83,0.0,0.0,0.0,0.0
1396,Eliteserien (NO),13247,Erlend Dahl Reitan,E. Reitan,1997-09-11,94.87,22.29,29.34,16,16,0,1325.0,82.81,27.62,25.5,1.19,0.12,5.38,6.94,24.31,35.69,12.31,70.5,4.5,0.25,0.19,0.06
1396,Eliteserien (NO),13289,Anders Trondsen,A. Trondsen,1995-03-30,41.35,12.31,12.46,12,12,0,626.0,52.17,16.33,15.5,0.33,0.0,8.83,2.0,13.58,11.25,31.0,21.17,0.5,0.0,0.0,0.0
1396,Eliteserien (NO),13304,Veton Berisha,V. Berisha,1994-04-13,11.38,5.82,2.7,1,1,0,17.0,17.0,4.0,2.0,0.0,0.0,7.0,9.0,0.0,1.0,12.0,5.0,4.0,0.0,0.0,0.0
1396,Eliteserien (NO),13531,Olaus Jair Skarsem,O. Skarsem,1998-07-02,35.32,10.66,11.42,4,4,0,186.0,46.5,13.0,9.25,0.75,0.0,14.25,9.0,7.25,17.0,27.75,18.75,4.25,0.75,0.25,0.0
1396,Eliteserien (NO),13534,Emil Konradsen Ceide,E. Ceide,2001-09-03,89.39,24.31,24.34,16,15,1,1646.0,109.73,36.27,28.0,3.73,0.47,31.27,18.4,19.4,74.4,29.67,80.07,5.67,0.87,0.27,0.0
1396,Eliteserien (NO),13541,Alexander Munksgaard Nielsen,A. Munksgaard,1997-12-13,96.13,25.75,31.23,15,15,0,1561.0,104.07,28.73,26.53,1.27,0.07,15.67,7.13,24.87,60.53,16.4,87.67,3.13,0.13,0.0,0.0
